                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4292,                 1.2142,                 1.0782,                0.95088,                0.96333,                0.97372,                0.71725,                0.98276,                0.82821,                0.92481,             0.00055465,             0.00055465,             0.00055465
                      1,                0.97488,                   0.61,                0.91428,                0.95251,                0.97125,                0.98075,                0.79225,                0.73892,                0.79425,                0.86371,              0.0010883,              0.0010883,              0.0010883
                      2,                0.86038,                0.53304,                0.88733,                0.96659,                   0.97,                0.98956,                0.82417,                0.66444,                0.59839,                0.84532,                 0.0016,                 0.0016,                 0.0016
                      3,                0.78652,                0.48355,                 0.8693,                0.98153,                0.97582,                0.99166,                0.85405,                0.59406,                0.42712,                 0.8285,               0.001568,               0.001568,               0.001568
                      4,                 0.7355,                 0.4521,                0.85845,                0.97753,                0.97893,                0.99241,                0.86373,                0.54457,                0.35028,                0.81746,               0.001568,               0.001568,               0.001568
                      5,                  0.689,                0.43323,                0.84891,                0.98188,                0.98394,                 0.9929,                0.88301,                0.51117,                0.36791,                0.81052,               0.001535,               0.001535,               0.001535
                      6,                0.66255,                0.41558,                0.84365,                0.98524,                0.98575,                0.99354,                0.88094,                0.50969,                0.32614,                0.80942,               0.001502,               0.001502,               0.001502
                      7,                0.64101,                0.39891,                0.84006,                0.98339,                0.98601,                 0.9936,                 0.8902,                0.49646,                0.33131,                0.80851,               0.001469,               0.001469,               0.001469
                      8,                0.61662,                0.38558,                0.83616,                0.94585,                0.95624,                0.98583,                0.88876,                0.47401,                0.34152,                0.80298,               0.001436,               0.001436,               0.001436
                      9,                  0.596,                0.37139,                0.83111,                0.97636,                0.97341,                0.98706,                0.89318,                0.46643,                0.31144,                0.80195,              0.0014029,              0.0014029,              0.0014029
                     10,                0.58425,                0.36592,                0.82938,                0.98965,                0.99055,                0.99397,                0.91049,                0.43347,                0.32938,                0.79457,              0.0013699,              0.0013699,              0.0013699
                     11,                0.57399,                0.35733,                0.82813,                0.98852,                0.98752,                0.99392,                0.91421,                0.42862,                0.28422,                0.79492,              0.0013369,              0.0013369,              0.0013369
                     12,                0.56478,                0.35018,                0.82598,                0.99436,                0.99344,                0.99428,                0.92299,                0.40439,                0.25954,                0.78965,              0.0013039,              0.0013039,              0.0013039
                     13,                0.54716,                 0.3374,                 0.8229,                0.99142,                0.99326,                0.99419,                 0.9256,                0.39414,                0.26189,                0.78833,              0.0012709,              0.0012709,              0.0012709
                     14,                 0.5404,                0.33442,                0.82224,                0.99499,                 0.9947,                0.99435,                0.92398,                0.39103,                0.28071,                0.78633,              0.0012379,              0.0012379,              0.0012379
                     15,                0.51927,                 0.3227,                0.81909,                  0.995,                0.99517,                0.99437,                 0.9321,                0.37128,                0.25711,                0.78332,              0.0012049,              0.0012049,              0.0012049
                     16,                0.52283,                0.32238,                0.81859,                0.99565,                0.99569,                 0.9944,                0.92541,                0.40097,                0.24868,                0.79032,              0.0011719,              0.0011719,              0.0011719
                     17,                0.50725,                0.31277,                0.81662,                0.99607,                0.99669,                0.99429,                0.94228,                0.34858,                0.23203,                0.77999,              0.0011389,              0.0011389,              0.0011389
                     18,                0.49807,                 0.3068,                0.81551,                 0.9977,                0.99745,                0.99443,                0.94094,                0.35555,                0.23245,                0.78075,              0.0011059,              0.0011059,              0.0011059
                     19,                0.49236,                0.30395,                 0.8138,                0.99728,                0.99716,                0.99446,                0.94329,                0.34801,                0.24619,                0.78001,              0.0010729,              0.0010729,              0.0010729
                     20,                0.48872,                0.30178,                 0.8134,                0.99669,                0.99654,                0.99438,                0.94907,                0.33353,                0.22779,                0.77758,              0.0010399,              0.0010399,              0.0010399
                     21,                0.47918,                0.29696,                0.81124,                0.99728,                0.99797,                0.99415,                0.95009,                0.32553,                0.23837,                0.77645,              0.0010069,              0.0010069,              0.0010069
                     22,                0.46944,                0.28938,                0.81042,                0.99738,                0.99752,                0.99446,                0.94934,                0.33446,                0.21896,                 0.7775,             0.00097386,             0.00097386,             0.00097386
                     23,                0.46191,                0.28815,                0.80934,                0.99764,                0.99804,                0.99449,                0.95567,                0.31392,                0.21919,                0.77444,             0.00094085,             0.00094085,             0.00094085
                     24,                0.45658,                0.28258,                 0.8088,                0.99774,                0.99806,                0.99442,                0.95632,                0.31397,                 0.2103,                0.77444,             0.00090785,             0.00090785,             0.00090785
